,id,suffix,tld,punycode,origin,type,tld type,suffix type,tld manager,psl comment,code
111,111,edu.af,af,,merged,country-code,country-code,icann,Ministry of Communications and IT,af,m00111cc1
112,112,ag,ag,,both,country-code,country-code,icann,UHSA School of Medicine,ag,b00112cc0
113,113,com.ag,ag,,merged,country-code,country-code,icann,UHSA School of Medicine,ag,m00113cc1
114,114,org.ag,ag,,merged,country-code,country-code,icann,UHSA School of Medicine,ag,m00114cc1
115,115,net.ag,ag,,merged,country-code,country-code,icann,UHSA School of Medicine,ag,m00115cc1
116,116,co.ag,ag,,merged,country-code,country-code,icann,UHSA School of Medicine,ag,m00116cc1
117,117,nom.ag,ag,,merged,country-code,country-code,icann,UHSA School of Medicine,ag,m00117cc1
118,118,ai,ai,,both,country-code,country-code,icann,Government of Anguilla,ai,b00118cc0
119,119,off.ai,ai,,merged,country-code,country-code,icann,Government of Anguilla,ai,m00119cc1
120,120,com.ai,ai,,merged,country-code,country-code,icann,Government of Anguilla,ai,m00120cc1
121,121,net.ai,ai,,merged,country-code,country-code,icann,Government of Anguilla,ai,m00121cc1
122,122,org.ai,ai,,merged,country-code,country-code,icann,Government of Anguilla,ai,m00122cc1
123,123,uwu.ai,ai,,merged,private-domains,country-code,private-domains,Government of Anguilla,Carrd,m00123pd1
124,124,al,al,,both,country-code,country-code,icann,Electronic and Postal Communications Authority - AKEP,al,b00124cc0
125,125,com.al,al,,merged,country-code,country-code,icann,Electronic and Postal Communications Authority - AKEP,al,m00125cc1
126,126,edu.al,al,,merged,country-code,country-code,icann,Electronic and Postal Communications Authority - AKEP,al,m00126cc1
127,127,gov.al,al,,merged,country-code,country-code,icann,Electronic and Postal Communications Authority - AKEP,al,m00127cc1
128,128,mil.al,al,,merged,country-code,country-code,icann,Electronic and Postal Communications Authority - AKEP,al,m00128cc1
129,129,net.al,al,,merged,country-code,country-code,icann,Electronic and Postal Communications Authority - AKEP,al,m00129cc1
130,130,org.al,al,,merged,country-code,country-code,icann,Electronic and Postal Communications Authority - AKEP,al,m00130cc1
131,131,blogspot.al,al,,merged,private-domains,country-code,private-domains,Electronic and Postal Communications Authority - AKEP,GoIP DNS Services,m00131pd1
132,132,am,am,,both,country-code,country-code,icann,"""Internet Society"" Non-governmental Organization",am,b00132cc0
133,133,co.am,am,,merged,country-code,country-code,icann,"""Internet Society"" Non-governmental Organization",am,m00133cc1
134,134,com.am,am,,merged,country-code,country-code,icann,"""Internet Society"" Non-governmental Organization",am,m00134cc1
135,135,commune.am,am,,merged,country-code,country-code,icann,"""Internet Society"" Non-governmental Organization",am,m00135cc1
136,136,net.am,am,,merged,country-code,country-code,icann,"""Internet Society"" Non-governmental Organization",am,m00136cc1
137,137,org.am,am,,merged,country-code,country-code,icann,"""Internet Society"" Non-governmental Organization",am,m00137cc1
138,138,radio.am,am,,merged,private-domains,country-code,private-domains,"""Internet Society"" Non-governmental Organization",BRS Media,m00138pd1
139,139,blogspot.am,am,,merged,private-domains,country-code,private-domains,"""Internet Society"" Non-governmental Organization",GoIP DNS Services,m00139pd1
140,140,neko.am,am,,merged,private-domains,country-code,private-domains,"""Internet Society"" Non-governmental Organization",Voxel.sh DNS,m00140pd1
141,141,nyaa.am,am,,merged,private-domains,country-code,private-domains,"""Internet Society"" Non-governmental Organization",Voxel.sh DNS,m00141pd1
142,142,ao,ao,,both,country-code,country-code,icann,Ministry of Telecommunications and Information Technologies (MTTI),ao,b00142cc0
143,143,ed.ao,ao,,merged,country-code,country-code,icann,Ministry of Telecommunications and Information Technologies (MTTI),ao,m00143cc1
144,144,gv.ao,ao,,merged,country-code,country-code,icann,Ministry of Telecommunications and Information Technologies (MTTI),ao,m00144cc1
145,145,og.ao,ao,,merged,country-code,country-code,icann,Ministry of Telecommunications and Information Technologies (MTTI),ao,m00145cc1
146,146,co.ao,ao,,merged,country-code,country-code,icann,Ministry of Telecommunications and Information Technologies (MTTI),ao,m00146cc1
147,147,pb.ao,ao,,merged,country-code,country-code,icann,Ministry of Telecommunications and Information Technologies (MTTI),ao,m00147cc1
148,148,it.ao,ao,,merged,country-code,country-code,icann,Ministry of Telecommunications and Information Technologies (MTTI),ao,m00148cc1
149,149,aq,aq,,both,country-code,country-code,icann,Antarctica Network Information Centre Limited,aq,b00149cc0
150,150,ar,ar,,both,country-code,country-code,icann,Presidencia de la Nación – Secretaría Legal y Técnica,ar,b00150cc0
151,151,bet.ar,ar,,merged,country-code,country-code,icann,Presidencia de la Nación – Secretaría Legal y Técnica,ar,m00151cc1
152,152,com.ar,ar,,merged,country-code,country-code,icann,Presidencia de la Nación – Secretaría Legal y Técnica,ar,m00152cc1
153,153,coop.ar,ar,,merged,country-code,country-code,icann,Presidencia de la Nación – Secretaría Legal y Técnica,ar,m00153cc1
154,154,edu.ar,ar,,merged,country-code,country-code,icann,Presidencia de la Nación – Secretaría Legal y Técnica,ar,m00154cc1
155,155,gob.ar,ar,,merged,country-code,country-code,icann,Presidencia de la Nación – Secretaría Legal y Técnica,ar,m00155cc1
156,156,gov.ar,ar,,merged,country-code,country-code,icann,Presidencia de la Nación – Secretaría Legal y Técnica,ar,m00156cc1
157,157,int.ar,ar,,merged,country-code,country-code,icann,Presidencia de la Nación – Secretaría Legal y Técnica,ar,m00157cc1
158,158,mil.ar,ar,,merged,country-code,country-code,icann,Presidencia de la Nación – Secretaría Legal y Técnica,ar,m00158cc1
159,159,musica.ar,ar,,merged,country-code,country-code,icann,Presidencia de la Nación – Secretaría Legal y Técnica,ar,m00159cc1
160,160,mutual.ar,ar,,merged,country-code,country-code,icann,Presidencia de la Nación – Secretaría Legal y Técnica,ar,m00160cc1
161,161,net.ar,ar,,merged,country-code,country-code,icann,Presidencia de la Nación – Secretaría Legal y Técnica,ar,m00161cc1
162,162,org.ar,ar,,merged,country-code,country-code,icann,Presidencia de la Nación – Secretaría Legal y Técnica,ar,m00162cc1
163,163,senasa.ar,ar,,merged,country-code,country-code,icann,Presidencia de la Nación – Secretaría Legal y Técnica,ar,m00163cc1
164,164,tur.ar,ar,,merged,country-code,country-code,icann,Presidencia de la Nación – Secretaría Legal y Técnica,ar,m00164cc1
165,165,blogspot.com.ar,ar,,merged,private-domains,country-code,private-domains,Presidencia de la Nación – Secretaría Legal y Técnica,GoIP DNS Services,m00165pd2
166,166,arpa,arpa,,both,infrastructure,infrastructure,icann,Internet Architecture Board (IAB),arpa,b00166in0
167,167,e164.arpa,arpa,,merged,infrastructure,infrastructure,icann,Internet Architecture Board (IAB),arpa,m00167in1
168,168,in-addr.arpa,arpa,,merged,infrastructure,infrastructure,icann,Internet Architecture Board (IAB),arpa,m00168in1
169,169,ip6.arpa,arpa,,merged,infrastructure,infrastructure,icann,Internet Architecture Board (IAB),arpa,m00169in1
170,170,iris.arpa,arpa,,merged,infrastructure,infrastructure,icann,Internet Architecture Board (IAB),arpa,m00170in1
171,171,uri.arpa,arpa,,merged,infrastructure,infrastructure,icann,Internet Architecture Board (IAB),arpa,m00171in1
172,172,urn.arpa,arpa,,merged,infrastructure,infrastructure,icann,Internet Architecture Board (IAB),arpa,m00172in1
173,173,as,as,,both,country-code,country-code,icann,AS Domain Registry,as,b00173cc0
174,174,gov.as,as,,merged,country-code,country-code,icann,AS Domain Registry,as,m00174cc1
175,175,asia,asia,,both,sponsored,sponsored,icann,DotAsia Organisation Ltd.,asia,b00175sp0
176,176,cloudns.asia,asia,,merged,private-domains,sponsored,private-domains,DotAsia Organisation Ltd.,Cloud DNS Ltd,m00176pd1
177,177,at,at,,both,country-code,country-code,icann,nic.at GmbH,at,b00177cc0
178,178,ac.at,at,,merged,country-code,country-code,icann,nic.at GmbH,at,m00178cc1
179,179,co.at,at,,merged,country-code,country-code,icann,nic.at GmbH,at,m00179cc1
180,180,gv.at,at,,merged,country-code,country-code,icann,nic.at GmbH,at,m00180cc1
181,181,or.at,at,,merged,country-code,country-code,icann,nic.at GmbH,at,m00181cc1
182,182,sth.ac.at,at,,merged,country-code,country-code,icann,nic.at GmbH,at,m00182cc2
183,183,wien.funkfeuer.at,at,,merged,private-domains,country-code,private-domains,nic.at GmbH,FunkFeuer - Verein zur Förderung freier Netze,m00183pd2
184,184,*.futurecms.at,at,,merged,private-domains,country-code,private-domains,nic.at GmbH,Futureweb OG,m00184pd2
185,185,*.ex.futurecms.at,at,,merged,private-domains,country-code,private-domains,nic.at GmbH,Futureweb OG,m00185pd3
186,186,*.in.futurecms.at,at,,merged,private-domains,country-code,private-domains,nic.at GmbH,Futureweb OG,m00186pd3
187,187,futurehosting.at,at,,merged,private-domains,country-code,private-domains,nic.at GmbH,Futureweb OG,m00187pd1
188,188,futuremailing.at,at,,merged,private-domains,country-code,private-domains,nic.at GmbH,Futureweb OG,m00188pd1
