,Domain,Type,TLD Manager
1175,.solar,generic,"Binky Moon, LLC"
1176,.solutions,generic,"Binky Moon, LLC"
1177,.song,generic,"Amazon Registry Services, Inc."
1178,.sony,generic,Sony Corporation
1179,.soy,generic,Charleston Road Registry Inc.
1180,.spa,generic,Asia Spa and Wellness Promotion Council Limited
1181,.space,generic,Radix FZC
1182,.spiegel,generic,Not assigned
1183,.sport,generic,Global Association of International Sports Federations (GAISF)
1184,.spot,generic,"Amazon Registry Services, Inc."
1185,.spreadbetting,generic,Not assigned
1186,.sr,country-code,Telesur
1187,.srl,generic,InterNetX Corp.
1188,.srt,generic,Not assigned
1189,.ss,country-code,National Communication Authority (NCA)
1190,.st,country-code,Tecnisys
1191,.stada,generic,STADA Arzneimittel AG
1192,.staples,generic,"Staples, Inc."
1193,.star,generic,Star India Private Limited
1194,.starhub,generic,Not assigned
1195,.statebank,generic,STATE BANK OF INDIA
1196,.statefarm,generic,State Farm Mutual Automobile Insurance Company
1197,.statoil,generic,Not assigned
1198,.stc,generic,Saudi Telecom Company
1199,.stcgroup,generic,Saudi Telecom Company
1200,.stockholm,generic,Stockholms kommun
1201,.storage,generic,XYZ.COM LLC
1202,.store,generic,Radix FZC
1203,.stream,generic,dot Stream Limited
1204,.studio,generic,"Dog Beach, LLC"
1205,.study,generic,OPEN UNIVERSITIES AUSTRALIA PTY LTD
1206,.style,generic,"Binky Moon, LLC"
1207,.su,country-code,Russian Institute for Development of Public Networks (ROSNIIROS)
1208,.sucks,generic,Vox Populi Registry Ltd.
1209,.supplies,generic,"Binky Moon, LLC"
1210,.supply,generic,"Binky Moon, LLC"
1211,.support,generic,"Binky Moon, LLC"
1212,.surf,generic,"Registry Services, LLC"
1213,.surgery,generic,"Binky Moon, LLC"
1214,.suzuki,generic,SUZUKI MOTOR CORPORATION
1215,.sv,country-code,SVNet
1216,.swatch,generic,The Swatch Group Ltd
1217,.swiftcover,generic,Not assigned
1218,.swiss,generic,Swiss Confederation
1219,.sx,country-code,SX Registry SA B.V.
1220,.sy,country-code,National Agency for Network Services (NANS)
1221,.sydney,generic,"State of New South Wales, Department of Premier and Cabinet"
1222,.symantec,generic,Not assigned
1223,.systems,generic,"Binky Moon, LLC"
1224,.sz,country-code,University of Swaziland Department of Computer Science
1225,.tab,generic,Tabcorp Holdings Limited
1226,.taipei,generic,Taipei City Government
1227,.talk,generic,"Amazon Registry Services, Inc."
1228,.taobao,generic,Alibaba Group Holding Limited
1229,.target,generic,"Target Domain Holdings, LLC"
1230,.tatamotors,generic,Tata Motors Ltd
1231,.tatar,generic,"Limited Liability Company ""Coordination Center of Regional Domain of Tatarstan Republic"""
