,TLD,Type,Punycode,Language Code,Translation,Romanized,RTL,Sponsor
404,er,ccTLD,,,,,no,Eritrea Telecommunication Services Corporation (EriTel)
405,ericsson,gTLD,,,,,no,Telefonaktiebolaget L M Ericsson
406,erni,gTLD,,,,,no,ERNI Group Holding AG
407,es,ccTLD,,,,,no,Red.es
408,esq,gTLD,,,,,no,Charleston Road Registry Inc.
409,estate,gTLD,,,,,no,"Binky Moon, LLC"
410,esurance,gTLD,,,,,no,Not assigned
411,et,ccTLD,,,,,no,Ethio telecom
412,etisalat,gTLD,,,,,no,Emirates Telecommunications Corporation (trading as Etisalat)
413,eu,ccTLD,,,,,no,EURid vzw/asbl
414,eurovision,gTLD,,,,,no,European Broadcasting Union (EBU)
415,eus,gTLD,,,,,no,Puntueus Fundazioa
416,events,gTLD,,,,,no,"Binky Moon, LLC"
417,everbank,gTLD,,,,,no,Not assigned
418,exchange,gTLD,,,,,no,"Binky Moon, LLC"
419,expert,gTLD,,,,,no,"Binky Moon, LLC"
420,exposed,gTLD,,,,,no,"Binky Moon, LLC"
421,express,gTLD,,,,,no,"Binky Moon, LLC"
422,extraspace,gTLD,,,,,no,Extra Space Storage LLC
423,fage,gTLD,,,,,no,Fage International S.A.
424,fail,gTLD,,,,,no,"Binky Moon, LLC"
425,fairwinds,gTLD,,,,,no,"FairWinds Partners, LLC"
426,faith,gTLD,,,,,no,dot Faith Limited
427,family,gTLD,,,,,no,United TLD Holdco Ltd.
428,fan,gTLD,,,,,no,Asiamix Digital Ltd
429,fans,gTLD,,,,,no,ZDNS International Limited
430,farm,gTLD,,,,,no,"Binky Moon, LLC"
431,farmers,gTLD,,,,,no,Farmers Insurance Exchange
432,fashion,gTLD,,,,,no,Minds + Machines Group Limited
433,fast,gTLD,,,,,no,"Amazon Registry Services, Inc."
434,fedex,gTLD,,,,,no,Federal Express Corporation
435,feedback,gTLD,,,,,no,"Top Level Spectrum, Inc."
436,ferrari,gTLD,,,,,no,Fiat Chrysler Automobiles N.V.
437,ferrero,gTLD,,,,,no,Ferrero Trading Lux S.A.
438,fi,ccTLD,,,,,no,Finnish Transport and Communications Agency Traficom
439,fiat,gTLD,,,,,no,Fiat Chrysler Automobiles N.V.
440,fidelity,gTLD,,,,,no,Fidelity Brokerage Services LLC
441,fido,gTLD,,,,,no,Rogers Communications Canada Inc.
442,film,gTLD,,,,,no,Motion Picture Domain Registry Pty Ltd
443,final,gTLD,,,,,no,Núcleo de Informação e Coordenação do Ponto BR - NIC.br
444,finance,gTLD,,,,,no,"Binky Moon, LLC"
445,financial,gTLD,,,,,no,"Binky Moon, LLC"
446,fire,gTLD,,,,,no,"Amazon Registry Services, Inc."
447,firestone,gTLD,,,,,no,"Bridgestone Licensing Services, Inc."
448,firmdale,gTLD,,,,,no,Firmdale Holdings Limited
